2023-11-19 22:20:27.374 [info] Log level: Info
2023-11-19 22:20:27.374 [info] Validating found git in: "git"
2023-11-19 22:20:27.374 [info] Using git "2.42.1" from "git"
2023-11-19 22:20:27.380 [info] > git rev-parse --show-toplevel [4ms]
2023-11-19 22:20:27.432 [info] > git rev-parse --show-toplevel [39ms]
2023-11-19 22:20:27.449 [info] > git rev-parse --show-toplevel [1ms]
2023-11-19 22:20:27.459 [info] > git rev-parse --show-toplevel [1ms]
2023-11-19 22:20:27.468 [info] > git rev-parse --show-toplevel [1ms]
2023-11-19 22:20:27.476 [info] > git rev-parse --show-toplevel [1ms]
2023-11-19 22:20:27.485 [info] > git rev-parse --show-toplevel [2ms]
2023-11-19 22:20:27.493 [info] > git rev-parse --show-toplevel [1ms]
2023-11-19 22:20:27.501 [info] > git rev-parse --show-toplevel [1ms]
2023-11-19 22:20:27.511 [info] > git rev-parse --show-toplevel [2ms]
2023-11-19 22:20:31.418 [info] > git rev-parse --show-toplevel [12ms]
2023-11-19 22:20:45.260 [info] > git rev-parse --show-toplevel [3ms]
2023-11-19 22:20:45.433 [info] > git rev-parse --show-toplevel [3ms]
2023-11-19 22:20:45.630 [info] > git rev-parse --show-toplevel [2ms]
2023-11-19 22:20:46.283 [info] > git rev-parse --show-toplevel [1ms]
2023-11-19 22:21:08.044 [info] > git rev-parse --show-toplevel [4ms]
2023-11-19 22:21:08.931 [info] > git rev-parse --show-toplevel [3ms]
2023-11-19 22:21:13.179 [info] > git rev-parse --show-toplevel [3ms]
2023-11-19 22:21:13.252 [info] > git rev-parse --show-toplevel [4ms]
2023-11-19 22:21:21.465 [info] > git rev-parse --show-toplevel [1ms]
2023-11-19 22:21:23.884 [info] > git rev-parse --show-toplevel [2ms]
2023-11-19 22:21:31.953 [info] > git rev-parse --show-toplevel [3ms]
2023-11-19 22:21:33.554 [info] > git rev-parse --show-toplevel [3ms]
2023-11-19 22:21:36.619 [info] > git rev-parse --show-toplevel [4ms]
2023-11-19 22:21:39.551 [info] > git rev-parse --show-toplevel [3ms]
2023-11-19 22:21:39.669 [info] > git rev-parse --show-toplevel [1ms]
2023-11-19 22:21:39.830 [info] > git rev-parse --show-toplevel [2ms]
2023-11-19 22:21:41.186 [info] > git rev-parse --show-toplevel [3ms]
2023-11-19 22:21:50.413 [info] > git rev-parse --show-toplevel [3ms]
2023-11-19 22:21:50.529 [info] > git rev-parse --show-toplevel [3ms]
2023-11-19 22:22:01.362 [info] > git rev-parse --show-toplevel [2ms]
2023-11-19 22:22:16.572 [info] > git rev-parse --show-toplevel [3ms]
